"AvgShippingError","Recency","Tenure","IsConsumer","PctShippingModeFirst Class","PctShippingModeSame Day","PctShippingModeSecond Class","PctShippingModeStandard Class","TotalNumberOfOrders","AverageDiscount","AverageOrderSales","AverageOrderQuantity","AverageOrderProfit"
2,792.055555555556,792.055555555556,1,0,0,0,1,1,0.0550054992077866,499.9500122,5,159.6900024
1.5,136.356944444444,632.648611111111,1,0,0,0,1,8,0.0957945127276708,118.7437534375,0.5,9.657499736375
-0.230769230769231,229.927777777778,781.588888888889,1,0,0.615384615384615,0,0.384615384615385,52,0.0880486794106711,45.9186549925,0.403846153846154,-0.236346293461538
0.571428571428572,380.225694444444,995.284722222222,1,0.285714285714286,0.285714285714286,0,0.428571428571429,56,0.138936865440091,30.70767910125,0.607142857142857,-7.85678557132143
0,523.633333333333,523.633333333333,0,0,0,0,1,1,0.250019221670085,129.9900055,1,29.25
0,226.570138888889,226.570138888889,0,0,0,0,1,2,0.250007926905514,314.97000885,3,-102.1400032
-0.75,698.075694444444,1002.96319444444,0,0,0,0,1,36,0.0781830309099312,58.7119445783333,1,1.39999994994444
3.2,333.615277777778,939.740277777778,1,0,0,1,0,10,0.0857440890849773,92.986001007,1.3,11.8239992617
0.5,307.5875,466.614583333333,0,0,0,0,1,16,0.106531519362047,79.04937576625,1.6875,-9.4512505525
-0.8,371.116666666667,954.586111111111,1,0,0,0,1,30,0.115079064122834,70.3226676953333,1.03333333333333,7.42700013486667
1,255.065277777778,255.065277777778,0,1,0,0,0,4,0.0730190851180246,207.48000431,1.5,43.4925007815
2,598.315277777778,1096.21319444444,0,0,0,0.909090909090909,0.0909090909090909,33,0.122460493070803,81.0824259566667,0.757575757575758,23.07181789
-0.714285714285714,733.2125,989.007638888889,0,0,0,0.285714285714286,0.714285714285714,21,0.0674246111262515,69.2766678238095,0.761904761904762,0.406190284809523
0,420.821527777778,420.821527777778,0,0,0,1,0,3,0.0575047901496608,79.9933357266667,1,23.1533323933333
0.7,123.277083333333,1124.21180555556,0,0,0.5,0.1,0.4,40,0.0965056221146157,29.247000504,0.325,4.76175000655
0.466666666666667,284.23125,1115.48194444444,1,0,0,0,1,60,0.0957124211958536,62.6616683966667,0.466666666666667,6.8848332407
0.0833333333333334,405.713194444444,1072.375,1,0.416666666666667,0,0.166666666666667,0.416666666666667,60,0.0777706829582226,46.9950009666667,0.416666666666667,11.0361664785
0.222222222222222,583.556944444444,1112.13888888889,0,0,0.166666666666667,0.444444444444444,0.388888888888889,108,0.0900615694955836,29.2197227488889,0.342592592592593,5.27564815241667
-1,905.129166666667,1052.53680555556,1,0,0,0,1,6,0.0528821187807648,173.310005183333,2.33333333333333,-42.4666662183333
-2,884.00625,884.00625,1,0,0,0,1,5,0.120560018108707,215.9920044,2.4,57.719999696
2.22222222222222,429.229861111111,1097.87708333333,0,0.555555555555556,0,0.444444444444444,0,27,0.0758315129941552,56.8462972281481,0.851851851851852,17.1607409778148
4,1024.08611111111,1024.08611111111,0,0,0,1,0,5,0.0906823807161803,152.378001392,2.4,5.445999908
1,874.226388888889,874.226388888889,0,1,0,0,0,5,0.174785865188361,141.968003088,1.6,-16.0439991946
1,1093.43958333333,1093.43958333333,0,0,0,0,1,1,0.250019221670085,129.9900055,1,27.29999924
0.4,621.145833333333,809.791666666667,1,0,0,0,1,30,0.0832320633110535,83.661669162,0.466666666666667,19.568333375
0,792.186805555556,792.186805555556,1,0,0,1,0,4,0.0890085527110413,149.95750047,2.5,32.41750002
-1,518.670138888889,679.054861111111,1,0,0,0,1,4,0.109137549027406,114.99250317,0.5,4.20749998
-2,580.520833333333,580.520833333333,0,0,0,0,1,3,0.0823332152216336,113.319999693333,3.33333333333333,27.1399993883333
-2,835.542361111111,835.542361111111,1,0,0,0,1,4,0.0759360627456565,147.492504125,1.75,51.5574998875
2,571.732638888889,571.732638888889,0,0,0,1,0,2,0.215080649576111,39.98500061,1.5,14.42500019
1,1102.00833333333,1102.00833333333,1,0,0,1,0,3,0.0236579483407356,309.9733429,2.33333333333333,116.403331746667
2,922.806944444444,922.806944444444,0,0,0,1,0,1,0,129.9900055,1,23.39999962
1,860.16875,860.16875,1,0,0,0,1,5,0.157271043345637,145.990002444,1.6,21.721999742
1,167.464583333333,167.464583333333,0,0,0,1,0,5,0.146820288576863,237.97800904,1.6,34.6400005264
1.4,176.646527777778,1099.32222222222,1,0,0,1,0,30,0.0876022741369328,44.3253340413333,0.666666666666667,12.4166668658667
-0.153846153846154,665.84375,724.658333333333,1,0,0,0.615384615384615,0.384615384615385,39,0.0940793135680605,48.7123085425641,0.743589743589744,-2.74615410076923
1,151.085416666667,804.959722222222,1,0.833333333333333,0,0,0.166666666666667,12,0.0711633374749493,129.490836145,1.16666666666667,-7.79250089525
0,770.874305555556,770.874305555556,1,0,0,1,0,1,0.179991999351545,249.8999939,5,59.43000031
0.214285714285714,247.809722222222,715.490972222222,1,0,0,0.0714285714285714,0.928571428571429,70,0.11432190669031,36.4247147151429,0.371428571428571,5.17414306885714
2,215.695138888889,215.695138888889,0,0,0,1,0,1,0.0700116634519115,119.9800034,2,-74.41999817
1,1005.41527777778,1005.41527777778,0,0,0,0,1,1,0.250012493749344,199.9900055,1,-247.4900055
-0.727272727272727,527.457638888889,1123.30625,1,0,0,0,1,33,0.0851905182091547,66.0551531248485,0.606060606060606,7.30696998969697
